date,time,currency,impact,event,actual,forecast,previous,outcome
2024-02-01,12:30am,AUD,yellow,Building Approvals m/m,-9.5,0.5,0.3,worse
2024-02-01,12:30am,AUD,yellow,Import Prices q/q,1.1,0.6,0.8,better
2024-02-01,12:30am,AUD,yellow,NAB Quarterly Business Confidence,-6,,-1,
2024-02-01,12:30am,JPY,yellow,Final Manufacturing PMI,48.0,48.0,48.0,
2024-02-01,1:45am,CNY,orange,Caixin Manufacturing PMI,50.8,50.8,50.8,
2024-02-01,3:35am,JPY,yellow,10-y Bond Auction,0.74,,0.60,
2024-02-01,5:30am,AUD,yellow,Commodity Prices y/y,-10.4,,-11.2,
2024-02-01,8:00am,EUR,orange,ECB President Lagarde Speaks,,,,
2024-02-01,8:15am,EUR,yellow,Spanish Manufacturing PMI,49.2,47.9,46.2,better
2024-02-01,8:30am,CHF,yellow,Manufacturing PMI,43.1,44.5,43.0,worse
2024-02-01,8:45am,EUR,yellow,Italian Manufacturing PMI,48.5,47.0,45.3,better
2024-02-01,8:50am,EUR,yellow,French Final Manufacturing PMI,43.1,43.2,43.2,
2024-02-01,8:55am,EUR,yellow,German Final Manufacturing PMI,45.5,45.4,45.4,
2024-02-01,9:00am,EUR,yellow,Final Manufacturing PMI,46.6,46.6,46.6,
2024-02-01,9:30am,GBP,yellow,Final Manufacturing PMI,47.0,47.3,47.3,
2024-02-01,9:45am,EUR,yellow,Spanish 10-y Bond Auction,3.17,,3.61,
2024-02-01,10:00am,EUR,orange,Core CPI Flash Estimate y/y,3.3,3.2,3.4,better
2024-02-01,10:00am,EUR,orange,CPI Flash Estimate y/y,2.8,2.7,2.9,better
2024-02-01,10:00am,EUR,yellow,Italian Prelim CPI m/m,0.3,0.5,0.2,worse
2024-02-01,10:00am,EUR,yellow,Unemployment Rate,6.4,6.4,6.4,
2024-02-01,10:01am,EUR,yellow,French 10-y Bond Auction,2.70,,2.59,
2024-02-01,All Day,All,orange,OPEC-JMMC Meetings,,,,
2024-02-01,12:00pm,GBP,red,BOE Monetary Policy Report,,,,
2024-02-01,12:00pm,GBP,red,Monetary Policy Summary,,,,
2024-02-01,12:00pm,GBP,red,MPC Official Bank Rate Votes,2-1-6,2-0-7,3-0-6,worse
2024-02-01,12:00pm,GBP,red,Official Bank Rate,5.25,5.25,5.25,
2024-02-01,12:30pm,GBP,red,BOE Gov Bailey Speaks,,,,
2024-02-01,12:30pm,USD,yellow,Challenger Job Cuts y/y,-20.0,,-20.2,
2024-02-01,1:30pm,USD,red,Unemployment Claims,224,213,215,worse
2024-02-01,1:30pm,USD,yellow,Prelim Nonfarm Productivity q/q,3.2,2.4,5.2,worse
2024-02-01,1:30pm,USD,yellow,Prelim Unit Labor Costs q/q,0.5,1.3,-1.2,worse
2024-02-01,2:30pm,CAD,yellow,Manufacturing PMI,48.3,,45.4,
2024-02-01,2:45pm,USD,yellow,Final Manufacturing PMI,50.7,50.3,50.3,better
2024-02-01,3:00pm,USD,red,ISM Manufacturing PMI,49.1,47.2,47.4,better
2024-02-01,3:00pm,USD,orange,ISM Manufacturing Prices,52.9,46.0,45.2,better
2024-02-01,3:00pm,USD,yellow,Construction Spending m/m,0.9,0.5,0.9,better
2024-02-01,All Day,USD,yellow,Wards Total Vehicle Sales,15.0,15.7,15.8,worse
2024-02-01,3:30pm,USD,yellow,Natural Gas Storage,-197,-202,-326,worse
2024-02-01,4:30pm,CAD,red,BOC Gov Macklem Speaks,,,,
2024-02-01,9:45pm,NZD,yellow,Building Consents m/m,3.7,,-10.6,
2024-02-01,11:50pm,JPY,yellow,Monetary Base y/y,4.8,7.5,7.8,worse
2024-02-02,12:30am,AUD,yellow,PPI q/q,0.9,1.9,1.8,worse
2024-02-02,7:45am,EUR,yellow,French Gov Budget Balance,-173.3,,-198.0,
2024-02-02,7:45am,EUR,yellow,French Industrial Production m/m,1.1,0.2,0.5,better
2024-02-02,8:00am,EUR,yellow,Spanish Unemployment Change,60.4,-38.6,-27.4,worse
2024-02-02,12:15pm,GBP,yellow,MPC Member Pill Speaks,,,,
2024-02-02,1:30pm,USD,red,Average Hourly Earnings m/m,0.6,0.3,0.4,better
2024-02-02,1:30pm,USD,red,Non-Farm Employment Change,353,187,333,better
2024-02-02,1:30pm,USD,red,Unemployment Rate,3.7,3.8,3.7,better
2024-02-02,3:00pm,USD,red,Revised UoM Consumer Sentiment,79.0,78.9,78.8,
2024-02-02,3:00pm,USD,yellow,Factory Orders m/m,0.2,0.3,2.6,
2024-02-02,3:00pm,USD,yellow,Revised UoM Inflation Expectations,2.9,,2.9,
2024-02-05,12:00am,AUD,yellow,MI Inflation Gauge m/m,0.3,,1.0,
2024-02-05,12:00am,NZD,yellow,ANZ Commodity Prices m/m,2.2,,2.4,
2024-02-05,12:00am,USD,red,Fed Chair Powell Speaks,,,,
2024-02-05,12:30am,AUD,yellow,ANZ Job Advertisements m/m,1.7,,0.6,
2024-02-05,12:30am,AUD,yellow,Goods Trade Balance,10.96,10.51,11.76,better
2024-02-05,1:45am,CNY,orange,Caixin Services PMI,52.7,53.0,52.9,
2024-02-05,7:00am,EUR,yellow,German Trade Balance,22.2,19.0,20.7,better
2024-02-05,8:15am,EUR,yellow,Spanish Services PMI,52.1,52.2,51.5,
2024-02-05,8:45am,EUR,yellow,Italian Services PMI,51.2,50.7,49.8,better
2024-02-05,8:50am,EUR,yellow,French Final Services PMI,45.4,45.0,45.0,better
2024-02-05,8:55am,EUR,yellow,German Final Services PMI,47.7,47.6,47.6,
2024-02-05,9:00am,EUR,yellow,Final Services PMI,48.4,48.4,48.4,
2024-02-05,9:30am,EUR,yellow,Sentix Investor Confidence,-12.9,-15.0,-15.8,better
2024-02-05,9:30am,GBP,yellow,Final Services PMI,54.3,53.8,53.8,better
2024-02-05,10:00am,EUR,yellow,PPI m/m,-0.8,-0.8,-0.3,
2024-02-05,2:45pm,USD,yellow,Final Services PMI,52.5,52.9,52.9,worse
2024-02-05,3:00pm,USD,red,ISM Services PMI,53.4,52.0,50.6,better
2024-02-05,5:30pm,GBP,yellow,MPC Member Pill Speaks,,,,
2024-02-05,7:00pm,USD,yellow,FOMC Member Bostic Speaks,,,,
2024-02-05,7:00pm,USD,yellow,Loan Officer Survey,,,,
2024-02-05,All Day,NZD,gray,Bank Holiday,,,,
2024-02-05,11:30pm,JPY,yellow,Average Cash Earnings y/y,1.0,1.3,0.7,worse
2024-02-05,11:30pm,JPY,yellow,Household Spending y/y,-2.5,-2.0,-2.9,worse
2024-02-06,12:01am,GBP,yellow,BRC Retail Sales Monitor y/y,1.4,1.2,1.9,better
2024-02-06,3:30am,AUD,red,Cash Rate,4.35,4.35,4.35,
2024-02-06,3:30am,AUD,red,RBA Rate Statement,,,,
2024-02-06,3:30am,AUD,orange,RBA Monetary Policy Statement,,,,
2024-02-06,4:30am,AUD,red,RBA Press Conference,,,,
2024-02-06,7:00am,EUR,yellow,German Factory Orders m/m,8.9,-0.1,0.0,better
2024-02-06,9:30am,GBP,orange,Construction PMI,48.8,47.2,46.8,better
2024-02-06,10:00am,EUR,yellow,Retail Sales m/m,-1.1,-0.9,0.3,worse
2024-02-06,1:30pm,CAD,yellow,Building Permits m/m,-14.0,1.8,-5.0,worse
2024-02-06,3:00pm,CAD,orange,Ivey PMI,56.5,55.0,56.3,better
2024-02-06,3:06pm,USD,yellow,RCM/TIPP Economic Optimism,44.0,47.2,44.7,worse
2024-02-06,3:19pm,NZD,yellow,GDT Price Index,4.2,,2.3,
2024-02-06,5:00pm,USD,orange,FOMC Member Mester Speaks,,,,
2024-02-06,5:45pm,CAD,red,BOC Gov Macklem Speaks,,,,
2024-02-06,9:45pm,NZD,red,Employment Change q/q,0.4,0.3,-0.1,better
2024-02-06,9:45pm,NZD,red,Unemployment Rate,4.0,4.3,3.9,better
2024-02-06,9:45pm,NZD,yellow,Labor Cost Index q/q,1.0,0.8,0.8,better
2024-02-07,3:35am,JPY,yellow,30-y Bond Auction,1.79,,1.63,
2024-02-07,5:00am,JPY,yellow,Leading Indicators,110.0,109.4,108.1,better
2024-02-07,6:45am,CHF,yellow,Unemployment Rate,2.2,2.2,2.2,
2024-02-07,7:00am,EUR,yellow,German Industrial Production m/m,-1.6,-0.4,-0.2,worse
2024-02-07,7:00am,GBP,yellow,Halifax HPI m/m,1.3,0.8,1.1,better
2024-02-07,7:45am,EUR,yellow,French Prelim Private Payrolls q/q,0.0,-0.1,0.1,better
2024-02-07,7:45am,EUR,yellow,French Trade Balance,-6.8,-6.0,-5.9,worse
2024-02-07,8:00am,CHF,orange,Foreign Currency Reserves,662,,654,
2024-02-07,8:40am,GBP,yellow,MPC Member Breeden Speaks,,,,
2024-02-07,9:00am,EUR,yellow,Italian Retail Sales m/m,-0.1,0.2,0.3,worse
2024-02-07,1:30pm,CAD,yellow,Trade Balance,-0.3,1.1,1.1,worse
2024-02-07,1:30pm,USD,yellow,Trade Balance,-62.2,-62.0,-61.9,
2024-02-07,3:30pm,USD,yellow,Crude Oil Inventories,5.5,1.7,1.2,worse
2024-02-07,4:00pm,USD,orange,FOMC Member Kugler Speaks,,,,
2024-02-07,5:30pm,USD,orange,FOMC Member Barkin Speaks,,,,
2024-02-07,6:01pm,USD,orange,10-y Bond Auction,4.09,,4.02,
2024-02-07,6:30pm,CAD,yellow,BOC Summary of Deliberations,,,,
2024-02-07,7:00pm,USD,yellow,FOMC Member Bowman Speaks,,,,
2024-02-07,8:00pm,USD,yellow,Consumer Credit m/m,1.6,14.9,23.5,worse
2024-02-07,11:50pm,JPY,yellow,Bank Lending y/y,3.1,3.2,3.0,worse
2024-02-07,11:50pm,JPY,yellow,Current Account,1.81,1.93,1.89,worse
2024-02-08,12:01am,GBP,yellow,RICS House Price Balance,-18,-22,-29,better
2024-02-08,1:30am,CNY,orange,CPI y/y,-0.8,-0.5,-0.3,worse
2024-02-08,1:30am,CNY,orange,PPI y/y,-2.5,-2.6,-2.7,
2024-02-08,5:00am,JPY,yellow,Economy Watchers Sentiment,50.2,50.3,50.7,
2024-02-08,9:00am,EUR,yellow,ECB Economic Bulletin,,,,
