date,time,currency,impact,event,actual,forecast,previous,outcome
2023-01-01,All Day,NZD,gray,Bank Holiday,,,,
2023-01-01,All Day,AUD,gray,Bank Holiday,,,,
2023-01-02,All Day,JPY,gray,Bank Holiday,,,,
2023-01-02,All Day,CNY,gray,Bank Holiday,,,,
2023-01-02,All Day,CHF,gray,Bank Holiday,,,,
2023-01-02,All Day,GBP,gray,Bank Holiday,,,,
2023-01-02,8:15am,EUR,yellow,Spanish Manufacturing PMI,46.4,45.9,45.7,better
2023-01-02,8:45am,EUR,yellow,Italian Manufacturing PMI,48.5,48.5,48.4,
2023-01-02,8:50am,EUR,yellow,French Final Manufacturing PMI,49.2,48.9,48.9,
2023-01-02,8:55am,EUR,yellow,German Final Manufacturing PMI,47.1,47.4,47.4,
2023-01-02,9:00am,EUR,yellow,Final Manufacturing PMI,47.8,47.8,47.8,
2023-01-02,All Day,CAD,gray,Bank Holiday,,,,
2023-01-02,All Day,USD,gray,Bank Holiday,,,,
2023-01-02,All Day,NZD,gray,Bank Holiday,,,,
2023-01-03,All Day,JPY,gray,Bank Holiday,,,,
2023-01-03,1:45am,CNY,yellow,Caixin Manufacturing PMI,49.0,49.2,49.4,
2023-01-03,5:30am,AUD,yellow,Commodity Prices y/y,15.6,,19.6,
2023-01-03,All Day,EUR,yellow,German Prelim CPI m/m,-0.8,-0.6,-0.5,worse
2023-01-03,8:00am,EUR,yellow,Spanish Unemployment Change,-43.7,-40.3,-33.5,
2023-01-03,8:30am,CHF,yellow,Manufacturing PMI,54.1,53.0,53.9,better
2023-01-03,8:55am,EUR,yellow,German Unemployment Change,-13,15,15,better
2023-01-03,9:30am,GBP,yellow,Final Manufacturing PMI,45.3,44.7,44.7,better
2023-01-03,2:30pm,CAD,yellow,Manufacturing PMI,49.2,,49.6,
2023-01-03,2:39pm,NZD,yellow,GDT Price Index,-2.8,,-3.8,
2023-01-03,2:45pm,USD,yellow,Final Manufacturing PMI,46.2,46.2,46.2,
2023-01-03,3:00pm,USD,yellow,Construction Spending m/m,0.2,-0.4,-0.2,better
2023-01-04,12:01am,GBP,yellow,BRC Shop Price Index y/y,7.3,,7.4,
2023-01-04,12:30am,JPY,yellow,Final Manufacturing PMI,48.9,48.8,48.8,
2023-01-04,7:00am,EUR,yellow,German Import Prices m/m,-4.5,-1.7,-1.2,worse
2023-01-04,7:30am,CHF,red,CPI m/m,-0.2,-0.1,0.0,worse
2023-01-04,7:45am,EUR,yellow,French Prelim CPI m/m,-0.1,0.5,0.3,worse
2023-01-04,8:15am,EUR,yellow,Spanish Services PMI,51.6,50.8,51.2,better
2023-01-04,8:45am,EUR,yellow,Italian Services PMI,49.9,49.5,49.5,better
2023-01-04,8:50am,EUR,yellow,French Final Services PMI,49.5,48.1,48.1,better
2023-01-04,8:55am,EUR,yellow,German Final Services PMI,49.2,49.0,49.0,
2023-01-04,9:00am,EUR,yellow,Final Services PMI,49.8,49.1,49.1,better
2023-01-04,9:30am,GBP,yellow,M4 Money Supply m/m,-1.6,0.2,0.1,worse
2023-01-04,9:30am,GBP,yellow,Mortgage Approvals,46,54,58,worse
2023-01-04,9:30am,GBP,yellow,Net Lending to Individuals m/m,5.9,4.5,4.3,better
2023-01-04,3:00pm,USD,red,ISM Manufacturing PMI,48.4,48.5,49.0,
2023-01-04,3:00pm,USD,red,JOLTS Job Openings,10.46,10.04,10.51,better
2023-01-04,3:00pm,USD,yellow,ISM Manufacturing Prices,39.4,42.9,43.0,worse
2023-01-04,All Day,USD,yellow,Wards Total Vehicle Sales,13.3,13.4,14.1,
2023-01-04,7:00pm,USD,red,FOMC Meeting Minutes,,,,
2023-01-04,11:50pm,JPY,yellow,Monetary Base y/y,-6.1,-6.1,-6.4,
2023-01-05,1:45am,CNY,yellow,Caixin Services PMI,48.0,46.8,46.7,better
2023-01-05,3:35am,JPY,yellow,10-y Bond Auction,0.50,,0.25,
2023-01-05,5:00am,JPY,yellow,Consumer Confidence,30.3,28.2,28.6,better
2023-01-05,7:00am,EUR,yellow,German Trade Balance,10.8,7.5,6.8,better
2023-01-05,9:30am,GBP,yellow,Final Services PMI,49.9,50.0,50.0,
2023-01-05,9:58am,EUR,yellow,French 10-y Bond Auction,2.77,,2.19,
2023-01-05,10:00am,EUR,yellow,PPI m/m,-0.9,-0.8,-3.0,worse
2023-01-05,10:00am,EUR,yellow,Italian Prelim CPI m/m,0.3,0.2,0.5,better
2023-01-05,12:30pm,USD,yellow,Challenger Job Cuts y/y,129.1,,416.5,
2023-01-05,1:15pm,USD,red,ADP Non-Farm Employment Change,235,152,182,better
2023-01-05,1:30pm,CAD,yellow,Trade Balance,0.0,1.3,0.1,worse
