date,time,currency,impact,event,actual,forecast,previous,outcome
2024-07-01,12:50am,JPY,yellow,Tankan Manufacturing Index,13,11,11,better
2024-07-01,12:50am,JPY,yellow,Tankan Non-Manufacturing Index,33,33,34,
2024-07-01,1:30am,JPY,yellow,Final Manufacturing PMI,50.0,50.1,50.1,
2024-07-01,2:00am,AUD,yellow,MI Inflation Gauge m/m,0.3,,0.3,
2024-07-01,2:30am,AUD,yellow,ANZ Job Advertisements m/m,-2.2,,-1.9,
2024-07-01,2:45am,CNY,yellow,Caixin Manufacturing PMI,51.8,51.5,51.7,
2024-07-01,6:00am,JPY,yellow,Consumer Confidence,36.4,36.4,36.2,
2024-07-01,7:25am,GBP,yellow,Nationwide HPI m/m,0.2,0.0,0.4,better
2024-07-01,All Day,EUR,red,German Prelim CPI m/m,0.1,0.2,0.1,worse
2024-07-01,7:30am,AUD,yellow,Commodity Prices y/y,-4.1,,-6.0,
2024-07-01,7:30am,CHF,yellow,Retail Sales y/y,0.4,2.5,2.2,worse
2024-07-01,8:15am,EUR,yellow,Spanish Manufacturing PMI,52.3,53.1,54.0,worse
2024-07-01,8:30am,CHF,yellow,Manufacturing PMI,43.9,45.2,46.4,worse
2024-07-01,8:45am,EUR,yellow,Italian Manufacturing PMI,45.7,44.3,45.6,better
2024-07-01,8:50am,EUR,yellow,French Final Manufacturing PMI,45.4,45.3,45.3,
2024-07-01,8:55am,EUR,yellow,German Final Manufacturing PMI,43.5,43.4,43.4,
2024-07-01,9:00am,EUR,yellow,Final Manufacturing PMI,45.8,45.6,45.6,
2024-07-01,9:30am,GBP,yellow,Final Manufacturing PMI,50.9,51.4,51.4,worse
2024-07-01,9:30am,GBP,yellow,M4 Money Supply m/m,-0.1,0.2,0.0,worse
2024-07-01,9:30am,GBP,yellow,Mortgage Approvals,60,60,61,
2024-07-01,9:30am,GBP,yellow,Net Lending to Individuals m/m,2.7,3.3,3.0,worse
2024-07-01,All Day,CAD,gray,Bank Holiday,,,,
2024-07-01,1:15pm,EUR,yellow,German Buba President Nagel Speaks,,,,
2024-07-01,2:45pm,USD,orange,Final Manufacturing PMI,51.6,51.7,51.7,
2024-07-01,3:00pm,USD,red,ISM Manufacturing PMI,48.5,49.2,48.7,worse
2024-07-01,3:00pm,USD,orange,ISM Manufacturing Prices,52.1,55.8,57.0,worse
