date,time,currency,impact,event,actual,forecast,previous,outcome
2023-03-01,12:01am,GBP,yellow,BRC Shop Price Index y/y,8.4,,8.0,
2023-03-01,12:30am,AUD,red,CPI y/y,7.4,8.1,8.4,worse
2023-03-01,12:30am,AUD,orange,GDP q/q,0.5,0.8,0.7,worse
2023-03-01,12:30am,JPY,yellow,Final Manufacturing PMI,47.7,47.4,47.4,
2023-03-01,1:30am,CNY,yellow,Manufacturing PMI,52.6,50.7,50.1,better
2023-03-01,1:30am,CNY,yellow,Non-Manufacturing PMI,56.3,55.0,54.4,better
2023-03-01,1:45am,CNY,yellow,Caixin Manufacturing PMI,51.6,50.7,49.2,better
2023-03-01,5:30am,AUD,yellow,Commodity Prices y/y,3.6,,11.0,
2023-03-01,7:00am,GBP,yellow,Nationwide HPI m/m,-0.5,-0.5,-0.6,
2023-03-01,All Day,EUR,yellow,German Prelim CPI m/m,0.8,0.5,1.0,better
2023-03-01,7:30am,CHF,yellow,Retail Sales y/y,-2.2,-2.2,-3.0,
2023-03-01,8:15am,EUR,yellow,Spanish Manufacturing PMI,50.7,49.1,48.4,better
2023-03-01,8:30am,CHF,yellow,Manufacturing PMI,48.9,50.4,49.3,worse
2023-03-01,8:45am,EUR,yellow,Italian Manufacturing PMI,52.0,50.9,50.4,better
2023-03-01,8:50am,EUR,yellow,French Final Manufacturing PMI,47.4,47.9,47.9,worse
2023-03-01,8:55am,EUR,yellow,German Final Manufacturing PMI,46.3,46.5,46.5,
2023-03-01,8:55am,EUR,yellow,German Unemployment Change,2,-9,-11,worse
2023-03-01,9:00am,EUR,yellow,Final Manufacturing PMI,48.5,48.5,48.5,
2023-03-01,9:30am,GBP,yellow,Final Manufacturing PMI,49.3,49.2,49.2,
2023-03-01,9:30am,GBP,yellow,M4 Money Supply m/m,1.3,-0.9,-0.9,better
2023-03-01,9:30am,GBP,yellow,Mortgage Approvals,40,37,41,better
2023-03-01,9:30am,GBP,yellow,Net Lending to Individuals m/m,4.1,4.6,3.9,worse
2023-03-01,10:00am,EUR,yellow,German Buba President Nagel Speaks,,,,
2023-03-01,10:00am,GBP,red,BOE Gov Bailey Speaks,,,,
2023-03-01,2:00pm,USD,yellow,FOMC Member Kashkari Speaks,,,,
2023-03-01,2:30pm,CAD,yellow,Manufacturing PMI,52.4,,51.0,
2023-03-01,2:45pm,USD,yellow,Final Manufacturing PMI,47.3,47.8,47.8,worse
2023-03-01,3:00pm,USD,red,ISM Manufacturing PMI,47.7,47.9,47.4,
2023-03-01,3:00pm,USD,yellow,Construction Spending m/m,-0.1,0.2,-0.7,worse
